,Delivery Date,Hour Ending,Repeated Hour Flag,Settlement Point,Settlement Point Price
6092,1/17/2021,23:00,N,SPP_MEAN,25.73547429
6107,1/17/2021,24:00:00,N,SPP_MEAN,36.01425336
6122,1/18/2021,1:00,N,SPP_MEAN,39.48616928
6137,1/18/2021,2:00,N,SPP_MEAN,33.49907564
6152,1/18/2021,3:00,N,SPP_MEAN,30.5799394
6167,1/18/2021,4:00,N,SPP_MEAN,27.21703992
6182,1/18/2021,5:00,N,SPP_MEAN,21.83338294
6197,1/18/2021,6:00,N,SPP_MEAN,17.91848579
6212,1/18/2021,7:00,N,SPP_MEAN,16.99169688
6227,1/18/2021,8:00,N,SPP_MEAN,15.57833356
6242,1/18/2021,9:00,N,SPP_MEAN,15.13731688
6257,1/18/2021,10:00,N,SPP_MEAN,15.77697177
6272,1/18/2021,11:00,N,SPP_MEAN,17.94494653
6287,1/18/2021,12:00,N,SPP_MEAN,21.20729231
6302,1/18/2021,13:00,N,SPP_MEAN,25.67067649
6317,1/18/2021,14:00,N,SPP_MEAN,29.72146915
6332,1/18/2021,15:00,N,SPP_MEAN,30.23956583
6347,1/18/2021,16:00,N,SPP_MEAN,35.00072986
6362,1/18/2021,17:00,N,SPP_MEAN,34.32647882
6377,1/18/2021,18:00,N,SPP_MEAN,27.27216809
6392,1/18/2021,19:00,N,SPP_MEAN,22.18083355
6407,1/18/2021,20:00,N,SPP_MEAN,20.91177784
6422,1/18/2021,21:00,N,SPP_MEAN,19.94827212
6437,1/18/2021,22:00,N,SPP_MEAN,19.78673062
6452,1/18/2021,23:00,N,SPP_MEAN,21.2713238
6467,1/18/2021,24:00:00,N,SPP_MEAN,27.90630142
6482,1/19/2021,1:00,N,SPP_MEAN,26.96494654
6497,1/19/2021,2:00,N,SPP_MEAN,23.36705186
6512,1/19/2021,3:00,N,SPP_MEAN,20.28459554
6527,1/19/2021,4:00,N,SPP_MEAN,18.57992258
6542,1/19/2021,5:00,N,SPP_MEAN,16.87850072
6557,1/19/2021,6:00,N,SPP_MEAN,15.94669611
6572,1/19/2021,7:00,N,SPP_MEAN,17.13445751
6587,1/19/2021,8:00,N,SPP_MEAN,17.08736261
6602,1/19/2021,9:00,N,SPP_MEAN,16.66963932
6617,1/19/2021,10:00,N,SPP_MEAN,16.15680569
6632,1/19/2021,11:00,N,SPP_MEAN,16.02782381
6647,1/19/2021,12:00,N,SPP_MEAN,17.23542962
6662,1/19/2021,13:00,N,SPP_MEAN,21.56201189
