,Month,Day,Hour,331111,325110,324110,322130,322121,311221,325199,325311,322110,325181,327410
198,1,2,6,1,0.7621441999999999,0.7633575,1,1,0.73333335,0.76413876,0.71133333,1,1,1
199,1,2,7,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
200,1,2,8,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
201,1,2,9,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
202,1,2,10,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
203,1,2,11,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
204,1,2,12,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
205,1,2,13,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
206,1,2,14,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
207,1,2,15,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
208,1,2,16,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
209,1,2,17,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
210,1,2,18,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
211,1,2,19,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
212,1,2,20,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
213,1,2,21,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
214,1,2,22,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
215,1,2,23,1,0.76582974,0.76786304,1,1,0.73333335,0.7795272,0.71133333,1,1,1
216,1,3,0,1,0.7621441999999999,0.7633575,1,1,0.46666667,0.76413876,0.45266667,1,1,1
217,1,3,1,1,0.7584586999999999,0.7588520000000001,1,1,0.2,0.74875027,0.194,1,1,1
218,1,3,2,1,0.7547731,0.7543465,1,1,0.2,0.7333618000000001,0.194,1,1,1
219,1,3,3,1,0.7547731,0.7543465,1,1,0.2,0.7333618000000001,0.194,1,1,1
220,1,3,4,1,0.7547731,0.7543465,1,1,0.2,0.7333618000000001,0.194,1,1,1
221,1,3,5,1,0.7584586999999999,0.7588520000000001,1,1,0.46666667,0.74875027,0.45266667,1,1,1
222,1,3,6,1,0.7621441999999999,0.7633575,1,1,0.73333335,0.76413876,0.71133333,1,1,1
223,1,3,7,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
224,1,3,8,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
225,1,3,9,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
226,1,3,10,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
227,1,3,11,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
228,1,3,12,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
229,1,3,13,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
230,1,3,14,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
231,1,3,15,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
232,1,3,16,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
233,1,3,17,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
234,1,3,18,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
235,1,3,19,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
236,1,3,20,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
237,1,3,21,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
238,1,3,22,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
239,1,3,23,1,0.76582974,0.76786304,1,1,0.73333335,0.7795272,0.71133333,1,1,1
240,1,4,0,1,0.7621441999999999,0.7633575,1,1,0.46666667,0.76413876,0.45266667,1,1,1
241,1,4,1,1,0.7584586999999999,0.7588520000000001,1,1,0.2,0.74875027,0.194,1,1,1
242,1,4,2,1,0.7547731,0.7543465,1,1,0.2,0.7333618000000001,0.194,1,1,1
243,1,4,3,1,0.7547731,0.7543465,1,1,0.2,0.7333618000000001,0.194,1,1,1
244,1,4,4,1,0.7547731,0.7543465,1,1,0.2,0.7333618000000001,0.194,1,1,1
245,1,4,5,1,0.7584586999999999,0.7588520000000001,1,1,0.46666667,0.74875027,0.45266667,1,1,1
246,1,4,6,1,0.7621441999999999,0.7633575,1,1,0.73333335,0.76413876,0.71133333,1,1,1
247,1,4,7,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
248,1,4,8,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
249,1,4,9,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
250,1,4,10,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
251,1,4,11,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
252,1,4,12,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
253,1,4,13,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
254,1,4,14,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
255,1,4,15,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
256,1,4,16,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
257,1,4,17,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
258,1,4,18,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
259,1,4,19,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
260,1,4,20,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
261,1,4,21,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
262,1,4,22,1,0.76582974,0.76786304,1,1,1.0,0.7795272,0.97,1,1,1
263,1,4,23,1,0.76582974,0.76786304,1,1,0.73333335,0.7795272,0.71133333,1,1,1
264,1,5,0,1,0.76038814,0.76069534,1,1,0.46666667,0.7615318,0.45266667,1,1,1
265,1,5,1,1,0.75494653,0.75352764,1,1,0.2,0.7435364000000001,0.194,1,1,1
266,1,5,2,1,0.7495049,0.74635994,1,1,0.2,0.725541,0.194,1,1,1
267,1,5,3,1,0.7495049,0.74635994,1,1,0.2,0.725541,0.194,1,1,1
268,1,5,4,1,0.7495049,0.74635994,1,1,0.2,0.725541,0.194,1,1,1
269,1,5,5,1,0.75735694,0.7525911999999999,1,1,0.2,0.7424584,0.45266667,1,1,1
270,1,5,6,1,0.76520896,0.7588225000000001,1,1,0.2,0.7593758,0.71133333,1,1,1
271,1,5,7,1,0.773061,0.76505375,1,1,0.46666667,0.7762932,0.97,1,1,1
272,1,5,8,1,0.773061,0.76505375,1,1,0.73333335,0.7762932,0.97,1,1,1
273,1,5,9,1,0.773061,0.76505375,1,1,1.0,0.7762932,0.97,1,1,1
274,1,5,10,1,0.773061,0.76505375,1,1,1.0,0.7762932,0.97,1,1,1
275,1,5,11,1,0.773061,0.76505375,1,1,1.0,0.7762932,0.97,1,1,1
276,1,5,12,1,0.773061,0.76505375,1,1,1.0,0.7762932,0.97,1,1,1
277,1,5,13,1,0.773061,0.76505375,1,1,1.0,0.7762932,0.97,1,1,1
278,1,5,14,1,0.773061,0.76505375,1,1,1.0,0.7762932,0.97,1,1,1
279,1,5,15,1,0.773061,0.76505375,1,1,1.0,0.7762932,0.97,1,1,1
280,1,5,16,1,0.773061,0.76505375,1,1,1.0,0.7762932,0.97,1,1,1
281,1,5,17,1,0.773061,0.76505375,1,1,0.73333335,0.7762932,0.97,1,1,1
282,1,5,18,1,0.773061,0.76505375,1,1,0.46666667,0.7762932,0.97,1,1,1
283,1,5,19,1,0.773061,0.76505375,1,1,0.2,0.7762932,0.97,1,1,1
284,1,5,20,1,0.773061,0.76505375,1,1,0.2,0.7762932,0.97,1,1,1
285,1,5,21,1,0.773061,0.76505375,1,1,0.2,0.7762932,0.97,1,1,1
286,1,5,22,1,0.773061,0.76505375,1,1,0.2,0.7762932,0.97,1,1,1
287,1,5,23,1,0.773061,0.76505375,1,1,0.2,0.75996906,0.71133333,1,1,1
288,1,6,0,1,0.76443326,0.7599924,1,1,0.2,0.7436449,0.45266667,1,1,1
289,1,6,1,1,0.7558056,0.75493103,1,1,0.2,0.7273206999999999,0.194,1,1,1
